,State,Year,PacksPerCapita,treated
123,Idaho,1973,121.8000031,0
124,Illinois,1973,124.4000015,0
125,Indiana,1973,156.0,0
126,Iowa,1973,110.5999985,0
127,Kansas,1973,115.1999969,0
128,Kentucky,1973,201.8999939,0
129,Louisiana,1973,126.6999969,0
130,Maine,1973,138.0,0
131,Minnesota,1973,106.8000031,0
132,Mississippi,1973,115.0,0
133,Missouri,1973,132.1000061,0
134,Montana,1973,119.9000015,0
135,Nebraska,1973,106.5999985,0
136,Nevada,1973,201.5,0
137,New Hampshire,1973,279.0,0
138,New Mexico,1973,98.90000153,0
139,North Carolina,1973,226.5,0
140,North Dakota,1973,108.6999969,0
141,Ohio,1973,120.5,0
142,Oklahoma,1973,124.0999985,0
143,Pennsylvania,1973,110.6999969,0
144,Rhode Island,1973,142.0,0
145,South Carolina,1973,125.5,0
146,South Dakota,1973,103.5,0
147,Tennessee,1973,109.6999969,0
148,Texas,1973,110.4000015,0
149,Utah,1973,72.69999695,0
150,Vermont,1973,146.8000031,0
151,Virginia,1973,143.1000061,0
152,West Virginia,1973,116.5999985,0
153,Wisconsin,1973,109.5,0
154,Wyoming,1973,141.1999969,0
155,California,1973,124.4000015,0
156,Alabama,1974,108.1999969,0
157,Arkansas,1974,109.6999969,0
158,Colorado,1974,132.8000031,0
159,Connecticut,1974,112.4000015,0
160,Delaware,1974,151.3000031,0
161,Georgia,1974,123.6999969,0
162,Idaho,1974,125.5999985,0
163,Illinois,1974,131.8999939,0
164,Indiana,1974,159.6000061,0
165,Iowa,1974,116.0999985,0
166,Kansas,1974,118.5999985,0
167,Kentucky,1974,212.3999939,0
168,Louisiana,1974,129.8999939,0
169,Maine,1974,142.1000061,0
170,Minnesota,1974,110.5999985,0
171,Mississippi,1974,117.0999985,0
172,Missouri,1974,135.3999939,0
173,Montana,1974,121.9000015,0
174,Nebraska,1974,110.5,0
175,Nevada,1974,204.6999969,0
176,New Hampshire,1974,269.7999878,0
177,New Mexico,1974,100.3000031,0
178,North Carolina,1974,227.3000031,0
179,North Dakota,1974,110.5,0
180,Ohio,1974,122.0999985,0
181,Oklahoma,1974,130.5,0
182,Pennsylvania,1974,114.1999969,0
183,Rhode Island,1974,146.1000061,0
184,South Carolina,1974,129.6999969,0
185,South Dakota,1974,108.4000015,0
186,Tennessee,1974,114.8000031,0
187,Texas,1974,114.6999969,0
188,Utah,1974,75.59999847,0
189,Vermont,1974,151.8000031,0
190,Virginia,1974,149.6000061,0
191,West Virginia,1974,119.9000015,0
192,Wisconsin,1974,111.8000031,0
193,Wyoming,1974,145.8000031,0
194,California,1974,126.6999969,0
195,Alabama,1975,111.6999969,0
196,Arkansas,1975,114.8000031,0
197,Colorado,1975,131.0,0
198,Connecticut,1975,110.1999969,0
199,Delaware,1975,147.6000061,0
200,Georgia,1975,122.9000015,0
201,Idaho,1975,123.3000031,0
202,Illinois,1975,131.8000031,0
203,Indiana,1975,162.3999939,0
204,Iowa,1975,120.5,0
205,Kansas,1975,123.4000015,0
206,Kentucky,1975,223.0,0
207,Louisiana,1975,133.6000061,0
208,Maine,1975,140.6999969,0
209,Minnesota,1975,111.5,0
210,Mississippi,1975,116.8000031,0
211,Missouri,1975,135.6000061,0
212,Montana,1975,123.6999969,0
213,Nebraska,1975,114.0999985,0
214,Nevada,1975,205.1999969,0
215,New Hampshire,1975,269.1000061,0
216,New Mexico,1975,103.0999985,0
217,North Carolina,1975,226.0,0
218,North Dakota,1975,117.9000015,0
219,Ohio,1975,122.5,0
220,Oklahoma,1975,132.8999939,0
221,Pennsylvania,1975,114.5999985,0
222,Rhode Island,1975,154.6999969,0
223,South Carolina,1975,130.5,0
224,South Dakota,1975,113.5,0
225,Tennessee,1975,117.4000015,0
226,Texas,1975,116.0,0
227,Utah,1975,75.80000305,0
228,Vermont,1975,155.5,0
229,Virginia,1975,152.6999969,0
230,West Virginia,1975,123.1999969,0
231,Wisconsin,1975,113.5,0
232,Wyoming,1975,160.6999969,0
233,California,1975,127.0999985,0
234,Alabama,1976,116.1999969,0
235,Arkansas,1976,119.0999985,0
236,Colorado,1976,134.1999969,0
237,Connecticut,1976,113.4000015,0
238,Delaware,1976,153.0,0
239,Georgia,1976,125.9000015,0
240,Idaho,1976,125.0999985,0
241,Illinois,1976,134.3999939,0
242,Indiana,1976,166.6000061,0
243,Iowa,1976,124.4000015,0
244,Kansas,1976,127.6999969,0
245,Kentucky,1976,230.8999939,0
246,Louisiana,1976,139.6000061,0
247,Maine,1976,144.8999939,0
248,Minnesota,1976,116.6999969,0
249,Mississippi,1976,120.9000015,0
250,Missouri,1976,139.5,0
251,Montana,1976,124.9000015,0
252,Nebraska,1976,118.0999985,0
253,Nevada,1976,201.3999939,0
254,New Hampshire,1976,290.5,0
255,New Mexico,1976,102.4000015,0
256,North Carolina,1976,230.1999969,0
257,North Dakota,1976,125.4000015,0
258,Ohio,1976,124.5999985,0
259,Oklahoma,1976,138.6000061,0
260,Pennsylvania,1976,118.8000031,0
261,Rhode Island,1976,150.1999969,0
262,South Carolina,1976,136.8000031,0
263,South Dakota,1976,116.6999969,0
264,Tennessee,1976,121.6999969,0
265,Texas,1976,121.4000015,0
266,Utah,1976,77.90000153,0
267,Vermont,1976,171.1000061,0
268,Virginia,1976,158.1000061,0
269,West Virginia,1976,129.6999969,0
270,Wisconsin,1976,115.4000015,0
271,Wyoming,1976,161.5,0
272,California,1976,128.0,0
273,Alabama,1977,117.0999985,0
274,Arkansas,1977,122.5999985,0
275,Colorado,1977,132.0,0
276,Connecticut,1977,117.3000031,0
277,Delaware,1977,153.3000031,0
278,Georgia,1977,127.9000015,0
279,Idaho,1977,125.0,0
280,Illinois,1977,134.0,0
281,Indiana,1977,173.0,0
282,Iowa,1977,125.5,0
283,Kansas,1977,127.9000015,0
284,Kentucky,1977,229.3999939,0
285,Louisiana,1977,140.0,0
286,Maine,1977,145.6000061,0
287,Minnesota,1977,117.1999969,0
288,Mississippi,1977,122.0999985,0
289,Missouri,1977,140.8000031,0
290,Montana,1977,127.0,0
291,Nebraska,1977,117.6999969,0
292,Nevada,1977,190.8000031,0
293,New Hampshire,1977,278.7999878,0
294,New Mexico,1977,102.4000015,0
295,North Carolina,1977,217.0,0
296,North Dakota,1977,122.1999969,0
297,Ohio,1977,127.3000031,0
298,Oklahoma,1977,140.3999939,0
299,Pennsylvania,1977,120.0999985,0
300,Rhode Island,1977,148.8000031,0
301,South Carolina,1977,137.1999969,0
302,South Dakota,1977,115.5999985,0
303,Tennessee,1977,124.5999985,0
304,Texas,1977,124.1999969,0
305,Utah,1977,78.0,0
306,Vermont,1977,169.3999939,0
307,Virginia,1977,157.6999969,0
308,West Virginia,1977,133.8999939,0
309,Wisconsin,1977,117.1999969,0
310,Wyoming,1977,160.3999939,0
311,California,1977,126.4000015,0
312,Alabama,1978,123.0,0
313,Arkansas,1978,127.3000031,0
314,Colorado,1978,129.1999969,0
315,Connecticut,1978,117.5,0
316,Delaware,1978,155.5,0
317,Georgia,1978,130.6000061,0
318,Idaho,1978,122.8000031,0
319,Illinois,1978,136.6999969,0
320,Indiana,1978,150.8999939,0
321,Iowa,1978,127.0999985,0
322,Kansas,1978,127.0999985,0
323,Kentucky,1978,224.6999969,0
324,Louisiana,1978,142.6999969,0
325,Maine,1978,143.8999939,0
326,Minnesota,1978,118.9000015,0
327,Mississippi,1978,124.9000015,0
328,Missouri,1978,141.8000031,0
329,Montana,1978,127.1999969,0
330,Nebraska,1978,117.4000015,0
331,Nevada,1978,187.0,0
332,New Hampshire,1978,269.6000061,0
333,New Mexico,1978,103.0999985,0
334,North Carolina,1978,205.5,0
335,North Dakota,1978,121.9000015,0
336,Ohio,1978,131.3000031,0
337,Oklahoma,1978,143.6000061,0
338,Pennsylvania,1978,122.3000031,0
339,Rhode Island,1978,146.8000031,0
340,South Carolina,1978,140.3999939,0
341,South Dakota,1978,116.9000015,0
342,Tennessee,1978,127.3000031,0
343,Texas,1978,126.5999985,0
344,Utah,1978,79.59999847,0
345,Vermont,1978,162.3999939,0
346,Virginia,1978,155.8999939,0
347,West Virginia,1978,131.6000061,0
348,Wisconsin,1978,116.6999969,0
349,Wyoming,1978,160.3000031,0
350,California,1978,126.0999985,0
351,Alabama,1979,121.4000015,0
352,Arkansas,1979,126.5,0
353,Colorado,1979,131.5,0
354,Connecticut,1979,117.4000015,0
355,Delaware,1979,150.1999969,0
356,Georgia,1979,131.0,0
357,Idaho,1979,117.5,0
358,Illinois,1979,135.3000031,0
359,Indiana,1979,148.8999939,0
360,Iowa,1979,124.1999969,0
361,Kansas,1979,126.4000015,0
362,Kentucky,1979,214.8999939,0
363,Louisiana,1979,140.1000061,0
364,Maine,1979,138.5,0
365,Minnesota,1979,118.3000031,0
366,Mississippi,1979,123.9000015,0
367,Missouri,1979,140.1999969,0
368,Montana,1979,120.3000031,0
369,Nebraska,1979,116.0999985,0
370,Nevada,1979,183.3000031,0
371,New Hampshire,1979,254.6000061,0
372,New Mexico,1979,101.0,0
373,North Carolina,1979,197.3000031,0
374,North Dakota,1979,121.3000031,0
375,Ohio,1979,130.8999939,0
376,Oklahoma,1979,141.6000061,0
377,Pennsylvania,1979,122.5999985,0
378,Rhode Island,1979,145.8000031,0
379,South Carolina,1979,135.6999969,0
380,South Dakota,1979,117.4000015,0
381,Tennessee,1979,127.1999969,0
382,Texas,1979,126.4000015,0
383,Utah,1979,79.09999847,0
384,Vermont,1979,160.8999939,0
385,Virginia,1979,151.8000031,0
386,West Virginia,1979,122.0999985,0
387,Wisconsin,1979,117.0999985,0
388,Wyoming,1979,168.6000061,0
389,California,1979,121.9000015,0
390,Alabama,1980,123.1999969,0
391,Arkansas,1980,131.8000031,0
392,Colorado,1980,131.0,0
393,Connecticut,1980,118.0,0
394,Delaware,1980,150.5,0
395,Georgia,1980,134.0,0
396,Idaho,1980,115.1999969,0
397,Illinois,1980,135.1999969,0
398,Indiana,1980,146.8999939,0
399,Iowa,1980,124.5999985,0
400,Kansas,1980,127.0999985,0
401,Kentucky,1980,215.3000031,0
402,Louisiana,1980,143.8000031,0
403,Maine,1980,141.1999969,0
404,Minnesota,1980,117.6999969,0
405,Mississippi,1980,127.0,0
406,Missouri,1980,142.1000061,0
407,Montana,1980,122.0,0
408,Nebraska,1980,116.3000031,0
409,Nevada,1980,177.6999969,0
410,New Hampshire,1980,247.8000031,0
411,New Mexico,1980,102.6999969,0
412,North Carolina,1980,187.8000031,0
413,North Dakota,1980,123.6999969,0
414,Ohio,1980,133.5,0
415,Oklahoma,1980,141.6000061,0
416,Pennsylvania,1980,124.0,0
417,Rhode Island,1980,149.3000031,0
418,South Carolina,1980,138.3000031,0
419,South Dakota,1980,114.6999969,0
420,Tennessee,1980,130.3999939,0
421,Texas,1980,129.6999969,0
422,Utah,1980,74.80000305,0
423,Vermont,1980,161.6000061,0
424,Virginia,1980,148.8999939,0
425,West Virginia,1980,122.3000031,0
426,Wisconsin,1980,117.5999985,0
427,Wyoming,1980,158.1000061,0
428,California,1980,120.1999969,0
429,Alabama,1981,119.5999985,0
430,Arkansas,1981,128.6999969,0
431,Colorado,1981,133.8000031,0
432,Connecticut,1981,116.4000015,0
433,Delaware,1981,152.6000061,0
434,Georgia,1981,131.6999969,0
435,Idaho,1981,114.0999985,0
436,Illinois,1981,133.0,0
437,Indiana,1981,148.5,0
438,Iowa,1981,132.8999939,0
439,Kansas,1981,132.0,0
440,Kentucky,1981,209.6999969,0
441,Louisiana,1981,144.0,0
442,Maine,1981,138.8999939,0
443,Minnesota,1981,120.8000031,0
444,Mississippi,1981,125.3000031,0
445,Missouri,1981,140.5,0
446,Montana,1981,121.0999985,0
447,Nebraska,1981,117.0,0
448,Nevada,1981,171.8999939,0
449,New Hampshire,1981,245.3999939,0
450,New Mexico,1981,103.0,0
451,North Carolina,1981,179.3000031,0
452,North Dakota,1981,125.6999969,0
453,Ohio,1981,132.8000031,0
454,Oklahoma,1981,143.6999969,0
455,Pennsylvania,1981,125.1999969,0
456,Rhode Island,1981,151.1999969,0
457,South Carolina,1981,136.1000061,0
458,South Dakota,1981,115.6999969,0
459,Tennessee,1981,129.1000061,0
460,Texas,1981,129.0,0
461,Utah,1981,77.59999847,0
462,Vermont,1981,163.8000031,0
463,Virginia,1981,149.8999939,0
464,West Virginia,1981,120.5,0
465,Wisconsin,1981,119.9000015,0
466,Wyoming,1981,163.1000061,0
467,California,1981,118.5999985,0
468,Alabama,1982,119.0999985,0
469,Arkansas,1982,127.4000015,0
470,Colorado,1982,130.5,0
471,Connecticut,1982,114.6999969,0
472,Delaware,1982,154.1000061,0
473,Georgia,1982,131.1999969,0
474,Idaho,1982,111.5,0
475,Illinois,1982,130.6999969,0
476,Indiana,1982,147.6999969,0
477,Iowa,1982,116.1999969,0
478,Kansas,1982,130.8999939,0
479,Kentucky,1982,210.6000061,0
480,Louisiana,1982,143.8999939,0
481,Maine,1982,139.5,0
482,Minnesota,1982,119.4000015,0
483,Mississippi,1982,125.8000031,0
484,Missouri,1982,139.6999969,0
485,Montana,1982,122.4000015,0
486,Nebraska,1982,117.0999985,0
487,Nevada,1982,165.1000061,0
488,New Hampshire,1982,239.8000031,0
489,New Mexico,1982,97.5,0
490,North Carolina,1982,179.0,0
491,North Dakota,1982,126.8000031,0
492,Ohio,1982,134.0,0
493,Oklahoma,1982,147.0,0
494,Pennsylvania,1982,123.3000031,0
495,Rhode Island,1982,146.3000031,0
496,South Carolina,1982,136.0,0
497,South Dakota,1982,113.0,0
498,Tennessee,1982,131.3999939,0
499,Texas,1982,131.1999969,0
500,Utah,1982,73.59999847,0
501,Vermont,1982,162.3000031,0
502,Virginia,1982,147.3999939,0
503,West Virginia,1982,119.8000031,0
504,Wisconsin,1982,115.5999985,0
505,Wyoming,1982,157.6999969,0
506,California,1982,115.4000015,0
507,Alabama,1983,116.3000031,0
508,Arkansas,1983,128.0,0
509,Colorado,1983,125.3000031,0
510,Connecticut,1983,114.0999985,0
511,Delaware,1983,149.6000061,0
512,Georgia,1983,128.6000061,0
513,Idaho,1983,111.3000031,0
514,Illinois,1983,127.9000015,0
515,Indiana,1983,143.0,0
516,Iowa,1983,115.5999985,0
517,Kansas,1983,127.5999985,0
518,Kentucky,1983,201.1000061,0
519,Louisiana,1983,133.6999969,0
520,Maine,1983,135.3999939,0
521,Minnesota,1983,113.1999969,0
522,Mississippi,1983,122.3000031,0
523,Missouri,1983,134.1000061,0
524,Montana,1983,113.6999969,0
525,Nebraska,1983,110.8000031,0
526,Nevada,1983,159.1999969,0
527,New Hampshire,1983,232.8999939,0
528,New Mexico,1983,96.30000305,0
529,North Carolina,1983,169.8000031,0
530,North Dakota,1983,119.5999985,0
531,Ohio,1983,130.0,0
532,Oklahoma,1983,140.0,0
533,Pennsylvania,1983,125.3000031,0
534,Rhode Island,1983,135.8000031,0
535,South Carolina,1983,131.1000061,0
536,South Dakota,1983,109.8000031,0
537,Tennessee,1983,129.0,0
538,Texas,1983,126.4000015,0
539,Utah,1983,69.0,0
540,Vermont,1983,153.8000031,0
541,Virginia,1983,144.6999969,0
542,West Virginia,1983,115.6999969,0
543,Wisconsin,1983,106.3000031,0
544,Wyoming,1983,141.1999969,0
545,California,1983,110.8000031,0
546,Alabama,1984,113.0,0
547,Arkansas,1984,123.0999985,0
548,Colorado,1984,119.6999969,0
549,Connecticut,1984,112.5,0
550,Delaware,1984,144.0,0
551,Georgia,1984,126.3000031,0
552,Idaho,1984,103.5999985,0
553,Illinois,1984,124.0,0
554,Indiana,1984,137.8000031,0
555,Iowa,1984,111.1999969,0
556,Kansas,1984,121.6999969,0
557,Kentucky,1984,183.1999969,0
558,Louisiana,1984,128.8999939,0
559,Maine,1984,135.5,0
560,Minnesota,1984,110.8000031,0
561,Mississippi,1984,116.4000015,0
562,Missouri,1984,130.0,0
563,Montana,1984,110.0999985,0
564,Nebraska,1984,107.6999969,0
565,Nevada,1984,136.6000061,0
566,New Hampshire,1984,215.1000061,0
567,New Mexico,1984,88.90000153,0
568,North Carolina,1984,160.6000061,0
569,North Dakota,1984,109.4000015,0
570,Ohio,1984,127.0999985,0
571,Oklahoma,1984,128.1000061,0
572,Pennsylvania,1984,115.3000031,0
573,Rhode Island,1984,136.8999939,0
574,South Carolina,1984,127.0,0
575,South Dakota,1984,105.6999969,0
576,Tennessee,1984,125.0999985,0
577,Texas,1984,117.1999969,0
578,Utah,1984,66.30000305,0
579,Vermont,1984,144.3000031,0
580,Virginia,1984,136.8000031,0
581,West Virginia,1984,111.9000015,0
582,Wisconsin,1984,105.5999985,0
583,Wyoming,1984,128.8999939,0
584,California,1984,104.8000031,0
585,Alabama,1985,114.5,0
586,Arkansas,1985,125.8000031,0
587,Colorado,1985,112.4000015,0
588,Connecticut,1985,111.0,0
589,Delaware,1985,144.5,0
590,Georgia,1985,128.8000031,0
591,Idaho,1985,100.6999969,0
592,Illinois,1985,121.5999985,0
593,Indiana,1985,135.3000031,0
594,Iowa,1985,109.4000015,0
595,Kansas,1985,115.6999969,0
596,Kentucky,1985,182.3999939,0
597,Louisiana,1985,125.0,0
598,Maine,1985,127.9000015,0
599,Minnesota,1985,113.0,0
600,Mississippi,1985,115.3000031,0
601,Missouri,1985,129.1999969,0
602,Montana,1985,103.5999985,0
603,Nebraska,1985,105.0999985,0
604,Nevada,1985,146.6999969,0
605,New Hampshire,1985,201.1000061,0
606,New Mexico,1985,88.0,0
607,North Carolina,1985,156.3000031,0
608,North Dakota,1985,103.1999969,0
609,Ohio,1985,126.6999969,0
610,Oklahoma,1985,124.1999969,0
611,Pennsylvania,1985,115.8000031,0
612,Rhode Island,1985,133.3999939,0
613,South Carolina,1985,125.4000015,0
614,South Dakota,1985,104.4000015,0
615,Tennessee,1985,128.6999969,0
616,Texas,1985,115.9000015,0
617,Utah,1985,66.5,0
618,Vermont,1985,144.5,0
619,Virginia,1985,134.6000061,0
620,West Virginia,1985,109.0999985,0
621,Wisconsin,1985,107.0,0
622,Wyoming,1985,125.6999969,0
623,California,1985,102.8000031,0
624,Alabama,1986,116.3000031,0
625,Arkansas,1986,126.0,0
626,Colorado,1986,109.9000015,0
627,Connecticut,1986,108.5,0
628,Delaware,1986,142.3999939,0
629,Georgia,1986,129.0,0
630,Idaho,1986,96.69999695,0
631,Illinois,1986,118.1999969,0
632,Indiana,1986,137.6000061,0
633,Iowa,1986,104.0999985,0
634,Kansas,1986,109.4000015,0
635,Kentucky,1986,179.8000031,0
636,Louisiana,1986,121.1999969,0
637,Maine,1986,119.0,0
638,Minnesota,1986,104.3000031,0
639,Mississippi,1986,113.1999969,0
640,Missouri,1986,128.8000031,0
641,Montana,1986,97.80000305,0
642,Nebraska,1986,103.0999985,0
643,Nevada,1986,142.6000061,0
644,New Hampshire,1986,195.8999939,0
645,New Mexico,1986,88.19999695,0
646,North Carolina,1986,154.3999939,0
647,North Dakota,1986,99.80000305,0
648,Ohio,1986,126.3000031,0
649,Oklahoma,1986,119.9000015,0
650,Pennsylvania,1986,113.9000015,0
651,Rhode Island,1986,136.3000031,0
652,South Carolina,1986,126.5999985,0
653,South Dakota,1986,97.0,0
654,Tennessee,1986,129.0,0
655,Texas,1986,113.6999969,0
656,Utah,1986,64.40000153,0
657,Vermont,1986,131.1999969,0
658,Virginia,1986,135.8000031,0
659,West Virginia,1986,112.0999985,0
660,Wisconsin,1986,105.4000015,0
661,Wyoming,1986,124.8000031,0
662,California,1986,99.69999695,0
663,Alabama,1987,114.0,0
664,Arkansas,1987,122.3000031,0
665,Colorado,1987,102.4000015,0
666,Connecticut,1987,109.0,0
667,Delaware,1987,141.0,0
668,Georgia,1987,129.3000031,0
669,Idaho,1987,95.0,0
670,Illinois,1987,109.5,0
671,Indiana,1987,134.0,0
672,Iowa,1987,101.0999985,0
673,Kansas,1987,105.1999969,0
674,Kentucky,1987,171.1999969,0
675,Louisiana,1987,116.5,0
676,Maine,1987,125.0,0
677,Minnesota,1987,108.8000031,0
678,Mississippi,1987,110.0,0
679,Missouri,1987,128.6999969,0
680,Montana,1987,91.69999695,0
681,Nebraska,1987,101.3000031,0
682,Nevada,1987,147.6999969,0
683,New Hampshire,1987,195.1000061,0
684,New Mexico,1987,82.30000305,0
685,North Carolina,1987,150.5,0
686,North Dakota,1987,92.30000305,0
687,Ohio,1987,124.5999985,0
688,Oklahoma,1987,113.0999985,0
689,Pennsylvania,1987,110.5999985,0
690,Rhode Island,1987,124.4000015,0
691,South Carolina,1987,126.5999985,0
692,South Dakota,1987,95.80000305,0
693,Tennessee,1987,130.6000061,0
694,Texas,1987,105.8000031,0
695,Utah,1987,67.69999695,0
696,Vermont,1987,128.3000031,0
697,Virginia,1987,133.0,0
698,West Virginia,1987,107.5,0
699,Wisconsin,1987,106.0,0
700,Wyoming,1987,110.4000015,0
701,California,1987,97.5,0
702,Alabama,1988,112.0999985,0
703,Arkansas,1988,121.5,0
704,Colorado,1988,94.59999847,0
705,Connecticut,1988,104.8000031,0
706,Delaware,1988,137.1000061,0
707,Georgia,1988,124.0999985,0
708,Idaho,1988,84.5,0
709,Illinois,1988,107.5999985,0
710,Indiana,1988,134.0,0
711,Iowa,1988,100.1999969,0
712,Kansas,1988,103.1999969,0
713,Kentucky,1988,173.1999969,0
714,Louisiana,1988,110.9000015,0
715,Maine,1988,125.0,0
716,Minnesota,1988,94.09999847,0
717,Mississippi,1988,109.0,0
718,Missouri,1988,127.4000015,0
719,Montana,1988,87.09999847,0
720,Nebraska,1988,92.90000153,0
721,Nevada,1988,141.8999939,0
722,New Hampshire,1988,180.3999939,0
723,New Mexico,1988,77.69999695,0
724,North Carolina,1988,146.0,0
725,North Dakota,1988,87.09999847,0
726,Ohio,1988,122.4000015,0
727,Oklahoma,1988,103.5999985,0
728,Pennsylvania,1988,107.5999985,0
729,Rhode Island,1988,138.0,0
730,South Carolina,1988,124.4000015,0
731,South Dakota,1988,91.90000153,0
732,Tennessee,1988,125.3000031,0
733,Texas,1988,96.5,0
734,Utah,1988,55.0,0
735,Vermont,1988,128.6999969,0
736,Virginia,1988,129.5,0
737,West Virginia,1988,109.0999985,0
738,Wisconsin,1988,102.5999985,0
739,Wyoming,1988,114.3000031,0
740,California,1988,90.09999847,0
741,Alabama,1989,105.5999985,0
742,Arkansas,1989,118.3000031,0
743,Colorado,1989,88.80000305,0
744,Connecticut,1989,100.5999985,0
745,Delaware,1989,131.6999969,0
746,Georgia,1989,117.0999985,0
747,Idaho,1989,78.40000153,0
748,Illinois,1989,104.5999985,0
749,Indiana,1989,132.5,0
750,Iowa,1989,94.40000153,0
751,Kansas,1989,96.5,0
752,Kentucky,1989,171.6000061,0
753,Louisiana,1989,103.5999985,0
754,Maine,1989,122.4000015,0
755,Minnesota,1989,92.30000305,0
756,Mississippi,1989,108.3000031,0
757,Missouri,1989,122.8000031,0
758,Montana,1989,86.19999695,0
759,Nebraska,1989,93.80000305,0
760,Nevada,1989,137.8999939,0
761,New Hampshire,1989,172.8999939,0
762,New Mexico,1989,74.40000153,0
763,North Carolina,1989,139.3000031,0
764,North Dakota,1989,84.09999847,0
765,Ohio,1989,118.5999985,0
766,Oklahoma,1989,97.5,0
767,Pennsylvania,1989,107.0999985,0
768,Rhode Island,1989,120.8000031,0
769,South Carolina,1989,122.4000015,0
770,South Dakota,1989,87.40000153,0
771,Tennessee,1989,124.6999969,0
